Variable Name,Original Order,Event Wording,Impression (I) or Sentiment (S)?,A/B/O/I Rated?,Concept Number,E/P/A Rated?
i41e,1735,grandfather_SI1E,s,i,41,e
i41p,1736,grandfather_SI2P,s,i,41,p
i41a,1737,grandfather_SI3A,s,i,41,a
i42e,1738,physician_SI1E,s,i,42,e
i42p,1739,physician_SI2P,s,i,42,p
i42a,1740,physician_SI3A,s,i,42,a
i43e,1741,innocent_SI1E,s,i,43,e
i43p,1742,innocent_SI2P,s,i,43,p
i43a,1743,innocent_SI3A,s,i,43,a
i44e,1744,lady_killer_SI1E,s,i,44,e
i44p,1745,lady_killer_SI2P,s,i,44,p
i44a,1746,lady_killer_SI3A,s,i,44,a
i45e,1747,brat_SI1E,s,i,45,e
i45p,1748,brat_SI2P,s,i,45,p
i45a,1749,brat_SI3A,s,i,45,a
i46e,1750,dropout_SI1E,s,i,46,e
i46p,1751,dropout_SI2P,s,i,46,p
i46a,1752,dropout_SI3A,s,i,46,a
