Variable Name,Original Order,Event Wording,Actor,A#,Behavior,B#,Object,O#,Impression (I) or Sentiment (S)?,Event Number,A/B/O/I Rated?,E/P/A Rated?
e25op,797,child_submitting_to_GRANDFATHER_IO2P,child,i14,submitting to,b5,grandfather,i41,i,25,o,p
e25oa,798,child_submitting_to_GRANDFATHER_IO3A,child,i14,submitting to,b5,grandfather,i41,i,25,o,a
e26be,115,deadbeat_dad_CHEWING_OUT_grandparent_IB1E,deadbeat dad,i35,chewing out,b8,grandparent,i31,i,26,b,e
e26bp,116,deadbeat_dad_CHEWING_OUT_grandparent_IB2P,deadbeat dad,i35,chewing out,b8,grandparent,i31,i,26,b,p
e26ba,117,deadbeat_dad_CHEWING_OUT_grandparent_IB3A,deadbeat dad,i35,chewing out,b8,grandparent,i31,i,26,b,a
e26oe,337,deadbeat_dad_chewing_out_GRANDPARENT_IO1E,deadbeat dad,i35,chewing out,b8,grandparent,i31,i,26,o,e
e26op,338,deadbeat_dad_chewing_out_GRANDPARENT_IO2P,deadbeat dad,i35,chewing out,b8,grandparent,i31,i,26,o,p
e26oa,339,deadbeat_dad_chewing_out_GRANDPARENT_IO3A,deadbeat dad,i35,chewing out,b8,grandparent,i31,i,26,o,a
e26ae,1666,DEADBEAT_DAD_chewing_out_grandparent_IA1E,deadbeat dad,i35,chewing out,b8,grandparent,i31,i,26,a,e
e26ap,1667,DEADBEAT_DAD_chewing_out_grandparent_IA2P,deadbeat dad,i35,chewing out,b8,grandparent,i31,i,26,a,p
e26aa,1668,DEADBEAT_DAD_chewing_out_grandparent_IA3A,deadbeat dad,i35,chewing out,b8,grandparent,i31,i,26,a,a
e27ae,1243,DEADBEAT_DAD_ignoring_physician_IA1E,deadbeat dad,i35,ignoring,b32,physician,i42,i,27,a,e
e27ap,1244,DEADBEAT_DAD_ignoring_physician_IA2P,deadbeat dad,i35,ignoring,b32,physician,i42,i,27,a,p
e27aa,1245,DEADBEAT_DAD_ignoring_physician_IA3A,deadbeat dad,i35,ignoring,b32,physician,i42,i,27,a,a
e27be,1465,deadbeat_dad_IGNORING_physician_IB1E,deadbeat dad,i35,ignoring,b32,physician,i42,i,27,b,e
