"pnum","age","female","ethnic","cauc","afamer","amerind","hawaii","asian","nonnative","year","marstat","momeduc","dadeduc","momjob","dadjob","ownhome","ownhome2","ownbus","spg1a1","spg1a2","spg1b","spg2a1","spg2a2","spg2b","spg3a1","spg3a2","spg3b","spg4a1","spg4a2","spg4b","spg5a1","spg5a2","spg5b","spg6a1","spg6a2","spg6b","spg7a1","spg7a2","spg7b","spg8a1","spg8a2","spg8b","spg9a1","spg9a2","spg9b","spg10a1","spg10a2","spg10b","spg11a1","spg11a2","spg11b","spg12a1","spg12a2","spg12b","spg13a1","spg13a2","spg13b","spg14a1","spg14a2","spg14b","spg15a1","spg15a2","spg15b","spg16a1","spg16a2","spg16b","spg17a1","spg17a2","spg17b","spg18a1","spg18a2","spg18b","spg19a1","spg19a2","spg19b","spg20a1","spg20a2","spg20b","spg21a1","spg21a2","spg21b","spg22a1","spg22a2","spg22b","spg23a1","spg23a2","spg23b","spg24a1","spg24a2","spg24b","spg25a1","spg25a2","spg25b","spg26a1","spg26a2","spg26b","spg27a1","spg27a2","spg27b","spg28a1","spg28a2","spg28b","spg29a1","spg29a2","spg29b","spg30a1","spg30a2","spg30b","spg31a1","spg31a2","spg31b","spg32a1","spg32a2","spg32b","spg33a1","spg33a2","spg33b","spg34a1","spg34a2","spg34b","spg35a1","spg35a2","spg35b","spg36a1","spg36a2","spg36b","upg1a1","upg1a2","upg1b","upg1c","upg1c1","upg1c2","upg2a1","upg2a2","upg2b","upg2c","upg2c1","upg2c2","upg3a1","upg3a2","upg3b","upg3c","upg3c1","upg3c2","upg4a1","upg4a2","upg4b","upg4c","upg4c1","upg4c2","upg5a1","upg5a2","upg5b","upg5c","upg5c1","upg5c2","upg6a1","upg6a2","upg6b","upg6c","upg6c1","upg6c2","upg7a1","upg7a2","upg7b","upg7c","upg7c1","upg7c2","upg8a1","upg8a2","upg8b","upg8c","upg8c1","upg8c2","upg9a1","upg9a2","upg9b","upg9c","upg9c1","upg9c2","upg10a1","upg10a2","upg10b","upg10c","upg10c1","upg10c2","upg11a1","upg11a2","upg11b","upg11c","upg11c1","upg11c2","upg12a1","upg12a2","upg12b","upg12c","upg12c1","upg12c2","upg13a1","upg13a2","upg13b","upg13c","upg13c1","upg13c2","upg14a1","upg14a2","upg14b","upg14c","upg14c1","upg14c2","upg15a1","upg15a2","upg15b","upg15c","upg15c1","upg15c2","upg16a1","upg16a2","upg16b","upg16c","upg16c1","upg16c2","dupg12a1","dupg12a2","dupg12b","dupg12c","dupg12c1","dupg12c2","dupg13a1","dupg13a2","dupg13b","dupg13c","dupg13c1","dupg13c2","dupg14a1","dupg14a2","dupg14b","dupg14c","dupg14c1","dupg14c2","suppnq1","suppnq2","suppnq3","nqfrat","nqrelig","nqcult","nqserv","nqsgov","nqnews","nqathim","nqathcoll","nqsliv","nqcrart","nqathsup","nqacad","nqrotc","skipped","edited","minutes","multrace","duke","pcis_pos","pcis_pun","pcis_ineff","ecrs_rejanx","ecrs_intav","spgmax","countmax","closemax","upgmax","ucountmax","uclosemax","spgcount","spgcountsum","spgclosesum","upgcount","upgcountsum","upgclosesum","inculcation_E","commonality_E","inculcation_P","commonality_P","inculcation_A","commonality_A","race_cat"
157,17,0,0,0,1,0,0,0,0,1,1,3,2,1,5,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,5,3,0,0,NA,0,0,NA,1,2,2,1,1,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,4,2,2,NA,5,0,0,NA,NA,NA,NA,1,1,1,2,NA,5,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,3,2,NA,4,0,0,NA,NA,NA,NA,1,10,8,2,NA,5,1,7,5,2,NA,4,1,9,7,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,14,15,10,11,20,0,0,0,76.8,1,1,0,0,NA,3,8,6,0.388728439839022,0.455498217792625,0.788237429718029,0.436762381140711,1.2117921485302,0.639918623476908,"afamer"
158,18,1,0,0,0,0,0,0,0,1,0,3,2,1,5,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,3,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,16,14,8,29,20,0,0,0,0,0,0,0,0,NA,0,0,NA,0.734690349010653,0.429876030418874,-0.00464249973528776,-0.00211154594676905,0.491431434749112,0.224836027067869,"none"
159,23,0,0,0,1,0,0,0,0,4,2,4,2,1,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,3,0,0,NA,0,0,NA,1,100,75,0,0,NA,1,500,150,1,70,25,0,0,NA,0,0,NA,1,3,3,1,50,50,0,0,NA,1,2,1,1,3,NA,1,4,2,1,4,NA,0,0,NA,NA,NA,NA,1,10,6,1,4,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,7,1,3,NA,0,0,NA,NA,NA,NA,1,3,3,1,2,NA,0,0,NA,NA,NA,NA,1,200,105,1,4,NA,1,70,68,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,25,0,0,17,16,10,23,24,0,0,0,54.3,10,6,0,0,NA,4,19,12,0.950126844704707,0.782846600432897,1.03895533828749,0.694085327093142,1.20445489419628,0.697049998746014,"afamer"
160,22,0,0,0,0,0,0,1,0,0,1,5,4,4,1,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,0,0,0,NA,0,0,NA,0,0,NA,1,18,3,1,4,1,1,3,2,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,4,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,5,0,0,NA,NA,NA,NA,1,40,6,2,NA,4,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,19,16,8,24,22,0,0,0,54.3,1,0,0,0,NA,2,41,6,0.859248309049542,0.82014235264348,0.980291069873545,0.645490115768537,1.48807871032363,0.789807007793299,"asian"
161,21,1,0,0,0,0,0,1,0,3,1,4,8,2,1,1,1,0,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,6,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,10,0,1,6,4,0,0,NA,1,10,1,1,70,10,1,1,1,0,0,NA,0,0,NA,1,15,1,1,20,5,1,10,2,0,0,NA,0,0,NA,NA,NA,NA,1,2,1,1,1.5,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,1,1,0,2,NA,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,6,1,1,2,NA,0,0,NA,NA,NA,NA,1,30,10,1,3,NA,NA,NA,NA,NA,NA,NA,1,6,3,1,3,NA,1,5,1,1,3,NA,1,2,0,1,1.5,NA,4,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,12,14,10,26,18,70,1,1,64.1,1,1,3,8,4,4,10,3,0.664082697861758,0.789453795269893,0.504784954731291,0.458124372147781,0.69171041863554,0.651067447186949,"asian"
162,18,0,0,0,0,0,0,1,0,1,1,4,9,2,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,150,5,1,70,5,1,5,0,1,2,0,0,0,NA,0,0,NA,1,150,2,1,25,2,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,5,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,0,2,NA,6,1,1,0,2,NA,5,1,3,0,2,NA,5,1,3,0,2,NA,5,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,4,2,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,15,0,0,13,14,10,17,29,21,2,0,64.1,1,0,1,2,0,3,4,0,0.852842544079964,0.804095588879875,1.37622148895606,0.848121299595977,1.47860980733081,0.832715793147013,"asian"
163,22,0,0,1,0,0,0,0,0,4,1,4,5,4,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,1,10,5,1,50,50,0,0,NA,1,30,30,0,0,NA,1,400,100,1,5,1,1,5,1,1,10,0,1,5,1,1,5,2,1,200,50,1,10,5,0,0,NA,0,0,NA,NA,NA,NA,1,1,1,1,3,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,6,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,200,50,1,4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,1,40,2,1,2,NA,5,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,17,13,11,24,21,73,3,3,54.3,1,1,2,4,4,3,3,2,1.38303015198139,0.851620795325576,1.35865966014299,0.793483572898082,1.0330132130987,0.715958107021031,"cauc"
164,20,1,0,0,1,0,0,0,0,3,2,3,3,1,0,0,0,1,1,1,0,1,1,1,0,0,NA,0,0,NA,1,2,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,4,2,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,10,3,1,1,1,1,20,7,1,4,2,1,1,0,0,0,NA,1,15,10,1,5,2,1,1,1,0,0,NA,NA,NA,NA,1,1,1,2,NA,8,0,0,NA,NA,NA,NA,1,2,2,2,NA,5,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,0,2,NA,4,1,3,0,2,NA,4,1,1,0,1,2,NA,1,2,2,1,2,NA,1,25,4,1,3,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,16,16,10,20,21,73,2,1,54.3,2,2,5,10,6,4,7,3,0.922772815103566,0.82970180876486,1.22289765235132,0.821908418592354,1.21906847442538,0.748999672641214,"afamer"
165,19,0,0,1,0,0,0,0,0,2,1,4,3,1,1,1,0,1,1,2,0,1,4,4,0,0,NA,0,0,NA,1,2,0,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,4,1,1,20,1,0,0,NA,0,0,NA,0,0,NA,1,300,30,1,30,3,1,5,0,1,10,0,1,4,0,1,1,0,1,50,7,1,100,20,1,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,0,1,2.6,NA,1,1,0,1,1.5,NA,0,0,NA,NA,NA,NA,1,15,4,1,6,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,18,4,1,1.5,NA,1,3,2,2,NA,11,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,9,8,19,20,73,2,0,47,1,0,4,8,5,2,4,0,1.1541299948954,0.937823709217279,1.13129306974925,0.765793949405465,1.26970208552868,0.811053901245757,"cauc"
166,19,1,0,0,1,0,0,0,0,2,4,3,2,1,4,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,1,1,1,0,0,NA,1,1,1,1,3,0,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,1,15,0,0,0,NA,0,0,NA,1,10,0,0,0,NA,1,200,3,0,0,NA,1,10,0,0,0,NA,1,10,0,1,50,5,1,2,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,1,0,0,NA,NA,NA,NA,1,1,0,1,3,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,1,2,NA,1,4,0,1,2,NA,0,0,NA,NA,NA,NA,1,5,0,1,2,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,15,0,1,2,NA,1,20,0,1,2,NA,3,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,17,10,12,20,17,49,3,1,70.9,1,0,6,8,2,4,7,1,0.767455961030242,0.712740304901974,0.966515050236907,0.505784358682,1.02144684459385,0.567538355927259,"afamer"
167,22,1,0,0,0,0,0,1,0,4,1,4,5,1,1,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,0,1,50,10,1,3,0,0,0,NA,1,1,0,0,0,NA,1,40,8,1,30,1,1,1,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,0,1,1,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,5,1,1,3,NA,0,0,NA,NA,NA,NA,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,1,3,1,1,3,NA,5,5,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,16,0,0,13,16,8,29,14,49,1,0,54.3,2,0,1,1,0,2,7,1,0.447390684324496,0.731855829363342,0.740016213279838,0.725820123294877,0.445524453670783,0.591356102156663,"asian"
168,20,1,0,0,1,0,0,0,0,4,2,2,2,4,1,0,0,0,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,1,1,1,0,1,1,1,0,0,NA,0,0,NA,1,50,0,1,10,0,1,500,5,1,10,0,1,1,1,1,10,0,1,25,2,1,1,1,1,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,4,2,1,1,NA,1,3,1,2,NA,8,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,0,2,NA,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,50,2,1,4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,12,17,7,28,25,54,1,1,58.3,4,2,2,2,1,3,9,3,0.813179915221979,0.694638063149766,0.618907209288906,0.457784276408737,0.789668215615125,0.478931074504967,"afamer"
169,19,1,0,0,0,0,0,1,0,1,4,9,4,1,1,1,1,1,0,0,NA,0,0,NA,1,6,0,1,300,0,0,0,NA,1,20,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,1,10,2,0,0,NA,0,0,NA,0,0,NA,1,50,1,0,0,NA,1,1000,30,1,1000,100,1,20,1,0,0,NA,1,5,0,0,0,NA,1,1000,40,1,300,2,1,20,1,0,0,NA,NA,NA,NA,1,1,0,2,NA,4,0,0,NA,NA,NA,NA,1,5,1,1,1.5,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,1,2,NA,7,1,2,0,2,NA,7,1,100,7,2,NA,7,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,13,0,0,18,9,18,27,11,70,1,1,54.3,5,1,5,337,4,3,9,2,0.983556135694333,0.725329602763526,0.872400927441002,0.510616078032357,1.34322438375569,0.620163762688809,"asian"
170,22,1,0,0,0,0,0,1,0,4,1,5,8,1,1,1,0,0,1,8,8,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,5,2,1,0,0,1,3,0,0,0,NA,1,5,0,0,0,NA,1,4,0,1,1,0,0,0,NA,0,0,NA,0,0,NA,1,4,2,1,2,NA,1,3,2,1,2,NA,1,1,1,2,NA,6,0,0,NA,NA,NA,NA,1,1,0,2,NA,9,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,1,1,22,NA,1,2,1,1,3,NA,1,3,0,1,3,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,12,1,5,0,1,1,NA,1,7,4,1,3,NA,1,300,30,1,4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,1,1,3,NA,1,4,4,1,3,NA,2,5,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,11,0,0,20,10,7,19,18,54,1,1,80.5,3,0,1,1,1,9,22,7,1.14835971651003,0.859544433501836,1.39520060947184,0.767086330114581,1.73235541304726,0.80013472344209,"asian"
171,20,0,0,1,0,0,0,0,0,3,1,4,4,1,1,1,0,0,0,0,NA,1,1,1,1,10,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,20,4,1,10,2,1,5,0,1,1,1,0,0,NA,1,1000,100,1,100,5,1,50,0,1,10,0,1,10,1,1,1,1,1,500,100,1,100,10,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,5,1,1,2,NA,1,3,1,1,1,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,1,1,2,NA,1,2,0,1,2,NA,1,100,20,1,2,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,0,0,16,11,9,29,6,58,10,0,70.9,3,1,2,11,1,3,10,3,0.884817676892741,0.92621963257721,1.20566174115074,0.862015768243351,1.26126133600082,0.845085361279365,"cauc"
172,23,1,0,0,0,1,0,0,0,4,1,2,2,1,1,1,0,0,1,7,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,1,2,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,5,1,0,0,NA,0,0,NA,0,0,NA,1,4,0,1,3,1,0,0,NA,0,0,NA,NA,NA,NA,1,3,1,1,2,NA,1,1,0,2,NA,11,1,10,2,1,1,NA,0,0,NA,NA,NA,NA,1,2,1,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,2,0,0,NA,NA,NA,NA,1,5,1,1,4,NA,1,2,0,1,3,NA,1,2,1,1,4,NA,1,65,4,1,4,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,3,NA,1,6,0,1,4,NA,1,3,0,1,3,NA,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,18,16,9,24,15,63,1,0,80.5,1,0,1,1,0,7,24,5,1.00694898491087,0.836158461912807,0.829341801385446,0.610722151640435,0.875883939009902,0.732862579975789,"amerind"
173,19,0,0,1,0,0,0,0,0,2,1,2,2,1,1,1,0,0,1,10,2,0,0,NA,0,0,NA,0,0,NA,1,12,2,1,2,1,0,0,NA,0,0,NA,0,0,NA,1,2,1,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,10,4,1,20,10,0,0,NA,0,0,NA,0,0,NA,1,250,20,1,20,5,1,40,3,1,1,1,1,10,4,0,0,NA,1,50,15,1,15,10,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,4,1,3,3,2,NA,5,1,2,2,1,1,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,4,4,1,2,NA,1,30,15,1,2,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,5,5,1,1.5,NA,1,55,15,1,1.5,NA,2,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0,0,17,13,9,28,19,73,12,2,70.9,2,2,4,17,5,3,6,6,1.48425484511487,0.908918283213657,1.24747752774649,0.670443593292113,1.02333562622046,0.578231567589293,"cauc"
