eae,eap,eaa,ebe,ebp,eba,eoe,eop,eoa,ae,ap,aa,be,bp,ba,oe,op,oa
2.113333333,-0.030238095,-0.841666667,2.397804878,0.857560976,-0.933902439,2.151325301,1.38746988,-0.905783133,1.843294118,-1.018117647,1.782588235,2.104470588,1.166588235,-1.052,2.117931034,0.772873563,-0.868505747
0.886352941,-1.556,-0.951529412,1.2,-0.780941176,-1.185411765,1.040722892,1.735903614,-0.159277108,1.843294118,-1.018117647,1.782588235,-0.436470588,-1.424941176,-1.432941176,2.019529412,1.064235294,-0.795529412
-2.13952381,0.537142857,1.473095238,-2.277857143,0.377619048,1.611904762,0.070238095,-1.292619048,-1.192619048,-2.351058824,-1.021882353,-1.359294118,-1.395764706,1.044941176,1.607764706,2.117931034,0.772873563,-0.868505747
-1.847674419,-0.651860465,-0.8,-1.981882353,-0.072,-0.875764706,0.584819277,-0.440722892,-0.411084337,-2.351058824,-1.021882353,-1.359294118,-1.213023256,1.135813953,-1.259534884,2.054823529,2.200235294,0.614823529
-2.785517241,0.464827586,0.203448276,-2.975764706,0.808,0.335529412,-0.140714286,-1.473571429,-0.470952381,-2.351058824,-1.021882353,-1.359294118,-0.453095238,0.584285714,0.678571429,0.722619048,0.345714286,1.718333333
-1.625747126,1.174252874,1.168275862,-1.682790698,1.168604651,1.471395349,-0.125952381,-2.187142857,-0.526190476,-2.351058824,-1.021882353,-1.359294118,-0.807058824,1.400235294,1.522823529,1.579090909,-1.420681818,1.892045455
-0.783529412,-0.083294118,1.662352941,-1.281190476,0.128095238,1.674285714,-0.767619048,0.222380952,0.645714286,-0.387529412,-0.128941176,-0.081882353,-0.904470588,-0.168235294,1.701176471,-1.253647059,0.537882353,2.025176471
0.034390244,1.362682927,0.774878049,-0.163023256,1.143953488,0.754651163,-0.738333333,-1.175238095,0.60452381,-0.387529412,-0.128941176,-0.081882353,-1.436781609,1.541609195,-0.198850575,-1.684470588,-0.045176471,1.961647059
-1.436904762,0.136666667,0.802142857,-1.511162791,-0.151395349,1.187209302,-0.589411765,-1.365647059,-1.080941176,-1.24627907,-1.947674419,-2.153953488,-1.395764706,1.044941176,1.607764706,-0.178352941,-1.662588235,-1.200470588
-0.501927711,-0.439518072,0.843373494,-0.422409639,-0.343373494,1.003614458,-0.355714286,-0.783571429,-0.060952381,-1.24627907,-1.947674419,-2.153953488,0.813414634,0.655121951,1.573658537,-1.086117647,-1.869882353,-0.970352941
0.403181818,1.030454545,1.061136364,0.433103448,0.554022989,1.167126437,-1.086511628,-0.975348837,-0.648837209,-1.24627907,-1.947674419,-2.153953488,-0.807058824,1.400235294,1.522823529,-2.45,1.596590909,1.797272727
